DESTIONATION,DETAILS,PRICE
Na Pali Coast,"Na Pali Coast: Located in Kauai, Hawaii, Na Pali Coast is a stunning coastline that features dramatic sea cliffs, lush green valleys, and hidden beaches. It is a popular destination for hiking, kayaking, and boat tours.",200$
Pololu Valley,"Pololu Valley: Located on the north coast of the Big Island of Hawaii, Pololu Valley is a beautiful valley that is surrounded by steep cliffs and features a black sand beach. It is a popular destination for hiking and scenic drives.",300$
Waimea Canyon,"Waimea Canyon: Also known as the Grand Canyon of the Pacific, Waimea Canyon is located on the island of Kauai, Hawaii. It is a stunning natural wonder that features deep canyons, colorful cliffs, and lush green forests. It is a popular destination for hiking and scenic drives.",250$
Rocky Mountain National Park,"Rocky Mountain National Park: Located in Colorado, Rocky Mountain National Park is a natural wonder that features soaring peaks, alpine lakes, and vast forests. It is a popular destination for hiking, camping, and wildlife viewing.",400$
Maroon Bells,"Maroon Bells: Located in the Elk Mountains of Colorado, the Maroon Bells are two peaks that are surrounded by stunning alpine scenery. It is a popular destination for hiking, photography, and scenic drives.",500$
Garden of the Gods,"Garden of the Gods: Located in Colorado Springs, Colorado, Garden of the Gods is a stunning natural wonder that features towering red rock formations. It is a popular destination for hiking, rock climbing, and photography.",524$
Yosemite National Park,"Yosemite National Park: Located in California, Yosemite National Park is a breathtaking natural wonder that features towering granite cliffs, thundering waterfalls, and vast meadows. It is a popular destination for hiking, camping, and wildlife viewing.",327$
Big Sur,"Big Sur: Located on the central coast of California, Big Sur is a rugged stretch of coastline that features towering cliffs, hidden beaches, and beautiful redwood forests. It is a popular destination for hiking, camping, and scenic drives.",768$
San Francisco,"San Francisco: Located in northern California, San Francisco is a vibrant city that is known for its iconic landmarks, including the Golden Gate Bridge, Alcatraz Island, and Fisherman's Wharf. It is a popular destination for sightseeing, shopping, and dining.",912$
Crater Lake National Park,"Crater Lake National Park: Located in Oregon, Crater Lake National Park is a stunning natural wonder that features a deep blue lake that was formed by a volcanic eruption. It is a popular destination for hiking, camping, and scenic drives.",293$
Columbia River Gorge,"Columbia River Gorge: Located in Oregon and Washington, the Columbia River Gorge is a stunning river canyon that features towering cliffs, thundering waterfalls, and beautiful forests. It is a popular destination for hiking, sightseeing, and photography.",558$
Cannon Beach,"Cannon Beach: Located on the Oregon coast, Cannon Beach is a beautiful seaside town that features a stunning beach that is known for its iconic Haystack Rock. It is a popular destination for beachcombing, hiking, and sightseeing.",145$
Niagara Falls,"Niagara Falls: Located on the border of Ontario, Canada, and New York, United States, Niagara Falls is a breathtaking natural wonder that features thundering waterfalls and stunning views. It is a popular destination for sightseeing, boat tours, and outdoor activities.",667$
Quebec City,"Quebec City: Located in Quebec, Canada, Quebec City is a charming and historic city that features stunning architecture, cobblestone streets, and a beautiful old town. It is a popular destination for sightseeing, shopping, and dining.",830$
Vancouver,"Vancouver: Located in British Columbia, Canada, Vancouver is a vibrant city that features stunning natural beauty, including mountains, beaches, and forests. It is a popular destination for sightseeing, outdoor activities, and dining.",443$
Norwegian Fjords,"Norwegian Fjords: Located in Norway, the Norwegian Fjords are a stunning natural wonder that features towering cliffs, deep blue waters, and beautiful forests. It is a popular destination for hiking, kayaking, and scenic cruises.",652$
Stockholm,"Stockholm: Located in Sweden, Stockholm is a beautiful city that features stunning architecture, historic landmarks, and beautiful waterways. It is a popular destination for sightseeing, shopping, and dining.",187$
